loc_x,loc_y,level,type
0,0,5,1
0,2,3,1
2,0,5,1
2,2,5,1
0,5,5,1
0,7,5,1
2,5,2,1
2,7,3,1
0,10,4,1
0,12,2,1
2,10,5,1
2,12,5,1
0,15,5,1
0,17,3,1
2,15,3,1
2,17,4,1
0,20,5,1
0,22,5,1
2,20,2,1
2,22,4,1
0,25,5,1
0,27,5,1
2,25,4,1
2,27,2,1
0,30,2,1
0,32,5,1
2,30,5,1
2,32,5,1
5,0,3,1
5,2,4,1
7,0,5,1
7,2,3,1
5,5,5,1
5,7,3,1
7,5,4,1
7,7,5,1
5,10,3,1
5,12,5,1
7,10,3,1
7,12,5,1
5,15,5,1
5,17,3,1
7,15,3,1
7,17,3,1
5,20,5,1
5,22,3,1
7,20,3,1
7,22,5,1
5,25,3,1
5,27,5,1
7,25,3,1
7,27,3,1
5,30,1,1
5,32,4,1
7,30,4,1
7,32,5,1
10,0,5,1
10,2,5,1
12,0,4,1
12,2,3,1
10,5,1,1
10,7,5,1
12,5,3,1
12,7,3,1
10,10,5,1
10,12,5,1
12,10,4,1
12,12,4,1
10,15,3,1
10,17,5,1
12,15,5,1
12,17,5,1
10,20,5,1
10,22,4,1
12,20,5,1
12,22,3,1
10,25,3,1
10,27,5,1
12,25,5,1
12,27,3,1
10,30,5,1
10,32,5,1
12,30,5,1
12,32,4,1
15,0,5,1
15,2,3,1
17,0,5,1
17,2,1,1
15,5,5,1
15,7,5,1
17,5,5,1
17,7,5,1
15,10,3,1
15,12,3,1
17,10,3,1
17,12,2,1
15,15,2,1
15,17,5,1
17,15,5,1
17,17,5,1
15,20,3,1
15,22,5,1
17,20,3,1
17,22,3,1
15,25,4,1
15,27,5,1
17,25,4,1
17,27,4,1
15,30,5,1
15,32,3,1
17,30,3,1
17,32,5,1
20,0,3,1
20,2,5,1
22,0,4,1
22,2,2,1
20,5,5,1
20,7,5,1
22,5,2,1
22,7,1,1
20,10,5,1
20,12,5,1
22,10,1,1
22,12,1,1
20,15,5,1
20,17,4,1
22,15,3,1
22,17,5,1
20,20,5,1
20,22,3,1
22,20,5,1
22,22,5,1
20,25,3,1
20,27,3,1
22,25,3,1
22,27,3,1
20,30,5,1
20,32,4,1
22,30,5,1
22,32,5,1
25,0,5,1
25,2,5,1
27,0,5,1
27,2,2,1
25,5,1,1
25,7,4,1
27,5,4,1
27,7,5,1
25,10,1,1
25,12,3,1
27,10,2,1
27,12,1,1
25,15,2,1
25,17,1,1
27,15,4,1
27,17,5,1
25,20,1,1
25,22,4,1
27,20,1,1
27,22,5,1
25,25,4,1
25,27,5,1
27,25,5,1
27,27,5,1
25,30,5,1
25,32,5,1
27,30,3,1
27,32,4,1
30,0,2,1
30,2,2,1
32,0,3,1
32,2,5,1
30,5,5,1
30,7,5,1
32,5,5,1
32,7,5,1
30,10,3,1
30,12,5,1
32,10,3,1
32,12,5,1
30,15,4,1
30,17,5,1
32,15,5,1
32,17,4,1
30,20,5,1
30,22,3,1
32,20,3,1
32,22,3,1
30,25,3,1
30,27,5,1
32,25,5,1
32,27,4,1
30,30,3,1
30,32,5,1
32,30,5,1
32,32,5,1
